시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,659.34,278.3,1~10,"230,000",1996,논현로122길
 서울특별시 강남구 논현동,단독,236.86,214.2,11~20,"170,000",1978,언주로129길
 서울특별시 강남구 논현동,단독,328.47,393.5,21~30,"250,000",1989,도산대로30길
 서울특별시 강남구 대치동,다가구,332.31,183.6,1~10,"168,000",1993,삼성로63길
 서울특별시 강남구 도곡동,다가구,450,191,11~20,"170,000",1996,남부순환로351길
 서울특별시 강남구 신사동,다가구,332.41,166,1~10,"179,000",2011,도산대로19길
 서울특별시 강남구 역삼동,다가구,946.42,330.7,11~20,"345,000",2001,테헤란로30길
 서울특별시 강남구 역삼동,단독,259.37,222.6,11~20,"145,000",1980,봉은사로24길
 서울특별시 강남구 역삼동,단독,198.14,244.4,21~30,"215,000",1982,언주로93길
 서울특별시 강남구 율현동,단독,196.02,321,11~20,"130,000",1987,밤고개로24길
 서울특별시 강남구 일원동,단독,249.2,197.3,21~30,"111,000",1987,
 서울특별시 강남구 일원동,단독,260.8,227.8,1~10,"139,500",1983,양재대로33길
 서울특별시 강남구 청담동,단독,260.24,455.1,1~10,"518,000",1983,삼성로149길
 서울특별시 강동구 고덕동,다가구,246.75,227.4,1~10,"90,000",1988,동남로85길
 서울특별시 강동구 길동,다가구,249.82,187.3,1~10,"96,000",1990,천중로53길
 서울특별시 강동구 길동,다가구,518.57,228.9,11~20,"142,000",1989,천호대로191길
 서울특별시 강동구 길동,단독,233.25,175.8,11~20,"58,500",1982,명일로
 서울특별시 강동구 둔촌동,다가구,194.85,172,11~20,"105,000",1986,명일로10나길
 서울특별시 강동구 둔촌동,다가구,274.8,236.6,11~20,"100,000",1983,풍성로61길
 서울특별시 강동구 명일동,단독,224.36,165,21~30,"81,250",1981,양재대로151길
 서울특별시 강동구 성내동,다가구,595.51,265,11~20,"198,500",1983,천호대로170길
 서울특별시 강동구 성내동,단독,330.67,308.1,1~10,"183,500",1982,성내로6가길
 서울특별시 강동구 암사동,단독,166.12,105.5,11~20,"44,670",1985,구천면로53길
 서울특별시 강동구 암사동,단독,177.99,119,21~30,"54,000",1988,암사18길
 서울특별시 강동구 암사동,단독,200.97,132,21~30,"68,000",1989,암사18길
 서울특별시 강동구 암사동,단독,206.46,138.9,11~20,"56,430",1985,구천면로53길
 서울특별시 강동구 암사동,단독,219.69,146.5,11~20,"54,750",1990,암사11길
 서울특별시 강동구 천호동,다가구,114.12,96,21~30,"35,000",1977,천중로34길
 서울특별시 강동구 천호동,다가구,190,112,21~30,"66,760",1991,구천면로34길
 서울특별시 강동구 천호동,다가구,241.5,167.8,21~30,"70,000",1979,올림픽로87길
 서울특별시 강동구 천호동,다가구,360.52,175,21~30,"75,000",1991,구천면로50길
 서울특별시 강동구 천호동,다가구,383.75,187.1,1~10,"105,000",2001,구천면로41길
 서울특별시 강동구 천호동,다가구,290.52,211.6,11~20,"99,000",1993,양재대로123길
 서울특별시 강동구 천호동,다가구,304.11,211.7,21~30,"95,000",1978,천중로15가길
 서울특별시 강동구 천호동,단독,44.93,79,1~10,"38,000",1969,올림픽로78길
 서울특별시 강동구 천호동,단독,66.64,132,11~20,"96,158",1970,
 서울특별시 강동구 천호동,단독,182.4,173.6,21~30,"81,000",1983,양재대로121길
 서울특별시 강동구 천호동,단독,388.6,173.9,11~20,"100,000",1989,
 서울특별시 강동구 천호동,단독,286.62,186,1~10,"94,500",1992,성안로27길
