시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,375.09,160.2,21~31,"153,000",1999,강남대로124길
 서울특별시 강남구 논현동,다가구,435.47,193.8,11~20,"208,000",1993,도산대로4길
 서울특별시 강남구 논현동,다가구,343.14,214.9,1~10,"172,500",1990,논현로123길
 서울특별시 강남구 논현동,다가구,441.18,224.5,21~31,"169,000",1991,강남대로124길
 서울특별시 강남구 논현동,다가구,538.66,270.9,21~31,"228,000",1994,봉은사로11길
 서울특별시 강남구 논현동,단독,223.2,150.7,11~20,"132,000",1990,강남대로114길
 서울특별시 강남구 논현동,단독,247.8,176.7,1~10,"105,000",1988,봉은사로51길
 서울특별시 강남구 논현동,단독,249.3,212.5,11~20,"168,000",1983,학동로41길
 서울특별시 강남구 논현동,단독,163.3,230.8,11~20,"210,000",1975,도산대로54길
 서울특별시 강남구 논현동,단독,163.27,278.3,1~10,"270,000",1978,논현로142길
 서울특별시 강남구 대치동,다가구,464.64,186.6,1~10,"140,000",1995,삼성로63길
 서울특별시 강남구 대치동,다가구,466.08,195.7,21~31,"200,000",1994,도곡로69길
 서울특별시 강남구 대치동,다가구,264.53,201.7,11~20,"138,000",1987,영동대로65길
 서울특별시 강남구 대치동,다가구,653.49,348.9,11~20,"310,000",1995,삼성로71길
 서울특별시 강남구 대치동,단독,623.28,288.1,11~20,"414,000",1987,선릉로68길
 서울특별시 강남구 삼성동,단독,65.73,133.6,1~10,"101,000",2008,봉은사로109길
 서울특별시 강남구 삼성동,단독,208.33,251,21~31,"243,000",1977,봉은사로70길
 서울특별시 강남구 삼성동,단독,275.73,411.6,1~10,"440,000",1979,삼성로122길
 서울특별시 강남구 역삼동,다가구,357.67,171.9,1~10,"258,500",2001,논현로95길
 서울특별시 강남구 역삼동,다가구,396.09,272.1,1~10,"257,000",2002,봉은사로20길
 서울특별시 강남구 역삼동,다가구,607.25,273.4,1~10,"275,000",2000,테헤란로53길
 서울특별시 강남구 역삼동,다가구,615.05,277.2,11~20,"380,000",1995,테헤란로6길
 서울특별시 강남구 역삼동,단독,105.23,109.9,11~20,"90,000",1976,논현로64길
 서울특별시 강남구 역삼동,단독,442.89,203.1,1~10,"106,000",1996,도곡로13길
 서울특별시 강남구 역삼동,단독,362.88,349.5,21~31,"260,000",2001,도곡로33길
 서울특별시 강남구 역삼동,단독,326.82,397.8,11~20,"310,000",1978,봉은사로18길
 서울특별시 강남구 일원동,다가구,271.71,177.7,11~20,"122,000",1988,양재대로39길
 서울특별시 강남구 일원동,다가구,258.87,193.3,21~31,"110,000",1987,양재대로49길
 서울특별시 강남구 일원동,단독,245.76,192.9,21~31,"94,000",1986,개포로136길
 서울특별시 강남구 일원동,단독,245.71,196.4,11~20,"115,000",1986,양재대로37길
 서울특별시 강남구 일원동,단독,249.78,198.2,11~20,"99,000",1986,양재대로37길
 서울특별시 강남구 일원동,단독,298.59,251.4,11~20,"200,000",1988,개포로
 서울특별시 강남구 일원동,단독,298.65,251.4,11~20,"204,000",1989,개포로
 서울특별시 강남구 일원동,단독,276.69,277.1,11~20,"163,500",1986,개포로136길
 서울특별시 강남구 청담동,단독,247.09,186.6,11~20,"208,000",1984,삼성로144길
 서울특별시 강남구 청담동,단독,329.1,241.1,11~20,"385,000",1997,압구정로75길
 서울특별시 강동구 고덕동,단독,245.36,177.1,21~31,"79,000",1987,아리수로72길
 서울특별시 강동구 고덕동,단독,249.48,182,11~20,"90,000",1988,상일로25길
 서울특별시 강동구 고덕동,단독,276.69,185.3,1~10,"85,400",1988,아리수로72길
 서울특별시 강동구 고덕동,단독,249.66,186.9,21~31,"89,900",1986,아리수로72길
 서울특별시 강동구 고덕동,단독,247.41,187,11~20,"84,000",1986,고덕로83길
 서울특별시 강동구 고덕동,단독,325.51,227.7,21~31,"107,500",1989,동남로87길
 서울특별시 강동구 고덕동,단독,325.51,227.7,21~31,"107,500",1989,동남로87길
 서울특별시 강동구 고덕동,단독,258.27,229.5,21~31,"94,000",1986,동남로87길
 서울특별시 강동구 길동,다가구,676.5,205.4,21~31,"193,000",2003,진황도로49길
 서울특별시 강동구 길동,단독,144.96,96.9,21~31,"40,400",1988,진황도로47길
 서울특별시 강동구 길동,단독,188.32,126.2,21~31,"56,500",1987,명일로27길
 서울특별시 강동구 길동,단독,197.3,128,1~10,"59,400",1987,천중로
 서울특별시 강동구 길동,단독,322.14,205.3,21~31,"120,900",1992,양재대로112길
 서울특별시 강동구 둔촌동,다가구,206.65,132,1~10,"63,000",1992,진황도로61길
 서울특별시 강동구 둔촌동,다가구,291.06,210,11~20,"113,000",1986,명일로
 서울특별시 강동구 둔촌동,단독,198.6,133.6,11~20,"80,000",1986,풍성로61길
 서울특별시 강동구 명일동,다가구,248.58,219.4,21~31,"108,000",1984,동남로65길
 서울특별시 강동구 상일동,다가구,443.93,214.8,1~10,"122,000",1985,구천면로100길
 서울특별시 강동구 성내동,다가구,222.06,145,1~10,"69,500",1998,천호대로168나길
 서울특별시 강동구 성내동,다가구,618.48,265.3,11~20,"168,000",1996,성내로6가길
 서울특별시 강동구 성내동,단독,174.24,99,1~10,"57,000",1994,풍성로37가길
 서울특별시 강동구 성내동,단독,153.63,106,1~10,"51,200",1989,천호대로168다길
 서울특별시 강동구 성내동,단독,177.14,106,11~20,"47,700",1993,천호옛12길
 서울특별시 강동구 성내동,단독,154.16,112,21~31,"56,700",1985,천호옛8길
 서울특별시 강동구 성내동,단독,167.34,112,21~31,"54,400",1987,풍성로37가길
 서울특별시 강동구 성내동,단독,157.41,116,21~31,"70,000",1987,풍성로37길
 서울특별시 강동구 성내동,단독,202.27,131,1~10,"103,000",1987,풍성로37가길
 서울특별시 강동구 성내동,단독,200.49,136,21~31,"65,250",1985,풍성로37길
 서울특별시 강동구 성내동,단독,181.71,166.4,11~20,"98,500",1982,풍성로58길
 서울특별시 강동구 성내동,단독,465.14,221.8,11~20,"136,500",1988,양재대로103길
 서울특별시 강동구 성내동,단독,267.87,238,21~31,"154,800",1983,성안로3길
 서울특별시 강동구 성내동,단독,476.34,313.7,1~10,"220,000",1983,강동대로53길
 서울특별시 강동구 암사동,단독,145.8,98.3,21~31,"44,500",1985,고덕로18길
 서울특별시 강동구 암사동,단독,148.2,99.8,11~20,"51,000",1988,구천면로47나길
 서울특별시 강동구 암사동,단독,149.67,101.1,11~20,"58,102",1988,구천면로47나길
 서울특별시 강동구 암사동,단독,149.22,101.8,11~20,"55,800",1988,구천면로47나길
 서울특별시 강동구 암사동,단독,150.84,101.8,11~20,"58,500",1987,구천면로47나길
 서울특별시 강동구 암사동,단독,148.86,102.2,11~20,"58,900",1988,구천면로47나길
 서울특별시 강동구 암사동,단독,160.29,107.6,21~31,"49,500",1985,상암로17길
 서울특별시 강동구 암사동,단독,166.16,107.9,1~10,"39,500",1986,암사13길
 서울특별시 강동구 암사동,단독,175.68,117.3,21~31,"54,000",1986,상암로
 서울특별시 강동구 암사동,단독,179.1,118.5,21~31,"57,350",1988,고덕로18길
 서울특별시 강동구 암사동,단독,180.21,119,1~10,"59,300",1985,암사길
 서울특별시 강동구 암사동,단독,202.72,126,21~31,"79,000",1988,암사길
 서울특별시 강동구 암사동,단독,189.24,127.2,11~20,"61,500",1988,고덕로20가길
 서울특별시 강동구 암사동,단독,188.19,134,11~20,"71,500",1983,암사길
 서울특별시 강동구 암사동,단독,203.28,139,1~10,"75,600",1985,암사길
 서울특별시 강동구 암사동,단독,286.25,142,11~20,"76,500",1990,암사18길
 서울특별시 강동구 암사동,단독,220.26,147.4,11~20,"74,700",1985,고덕로20나길
 서울특별시 강동구 암사동,단독,225.04,148.8,11~20,"76,520",1988,고덕로20가길
 서울특별시 강동구 암사동,단독,237.48,154.9,11~20,"67,300",1989,고덕로20길
 서울특별시 강동구 암사동,단독,170.73,159.5,1~10,"87,800",1983,고덕로14가길
 서울특별시 강동구 암사동,단독,243.31,161.1,1~10,"76,000",1986,고덕로14가길
 서울특별시 강동구 암사동,단독,181.48,175.5,21~31,"70,000",1982,구천면로47나길
 서울특별시 강동구 암사동,단독,247.02,183.2,21~31,"82,800",1990,암사1가길
 서울특별시 강동구 암사동,단독,494.7,184.4,11~20,"165,000",1998,고덕로13길
 서울특별시 강동구 암사동,단독,200.35,188,11~20,"90,000",1983,구천면로57길
 서울특별시 강동구 암사동,단독,64.99,190.6,11~20,"89,000",1973,고덕로20나길
 서울특별시 강동구 천호동,다가구,156.55,99,21~31,"63,000",1994,성안로27길
 서울특별시 강동구 천호동,다가구,190,112,21~31,"54,000",1991,구천면로34길
 서울특별시 강동구 천호동,다가구,229.61,119,21~31,"58,800",1991,진황도로27가길
 서울특별시 강동구 천호동,다가구,182.1,132,1~10,"68,000",1984,천중로33길
 서울특별시 강동구 천호동,다가구,246.27,170,11~20,"83,440",1990,천중로31길
 서울특별시 강동구 천호동,다가구,569.26,171,11~20,"160,000",1996,천중로
 서울특별시 강동구 천호동,다가구,412.26,195,11~20,"150,000",2002,상암로
 서울특별시 강동구 천호동,단독,151.11,101,21~31,"54,000",1990,구천면로42길
 서울특별시 강동구 천호동,단독,111.18,106,1~10,"49,300",1984,상암로28길
 서울특별시 강동구 천호동,단독,176.81,116,21~31,"81,000",1978,성안로27길
 서울특별시 강동구 천호동,단독,174.69,119,21~31,"68,400",1984,구천면로64길
 서울특별시 강동구 천호동,단독,178.2,119,11~20,"57,600",1986,구천면로50길
 서울특별시 강동구 천호동,단독,178.26,119,11~20,"59,400",1990,구천면로50길
 서울특별시 강동구 천호동,단독,179.37,122,21~31,"68,300",1985,구천면로64길
 서울특별시 강동구 천호동,단독,95.6,123,21~31,"50,000",1978,올림픽로79길
 서울특별시 강동구 천호동,단독,188.28,126,11~20,"64,770",1985,구천면로52길
 서울특별시 강동구 천호동,단독,195.01,126,21~31,"68,600",1989,구천면로42길
 서울특별시 강동구 천호동,단독,201.6,126,11~20,"68,400",1990,구천면로52길
 서울특별시 강동구 천호동,단독,163.98,127,21~31,"57,000",1985,구천면로14길
